i,Variable,Definition
633,POOLYRS,Years used for rolling averages of completion rate C150_[4/L4]_POOLED and transfer rate TRANS_[4/L4]_POOLED
634,PFTFTUG1_EF,"Share of entering undergraduate students who are first-time, full-time degree-/certificate-seeking undergraduate students"
635,D150_4,Adjusted cohort count for completion rate at four-year institutions (denominator of 150% completion rate)
636,D150_L4,Adjusted cohort count for completion rate at less-than-four-year institutions (denominator of 150% completion rate)
637,D150_4_POOLED,"Adjusted cohort count for completion rate at four-year institutions (denominator of 150% completion rate), pooled for two-year rolling averages"
638,D150_L4_POOLED,"Adjusted cohort count for completion rate at less-than-four-year institutions (denominator of 150% completion rate), pooled for two-year rolling averages"
639,C150_4_WHITE,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for white students"
640,C150_4_BLACK,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for black students"
641,C150_4_HISP,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for Hispanic students"
642,C150_4_ASIAN,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for Asian students"
643,C150_4_AIAN,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for American Indian/Alaska Native students"
644,C150_4_NHPI,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for Native Hawaiian/Pacific Islander students"
645,C150_4_2MOR,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for students of two-or-more-races"
646,C150_4_NRA,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for non-resident alien students"
647,C150_4_UNKN,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for students whose race is unknown"
648,C150_4_WHITENH,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for white students"
649,C150_4_BLACKNH,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for black students"
650,C150_4_API,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for Asian/Pacific Islander students"
651,C150_4_AIANOLD,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for American Indian/Alaska Native students"
652,C150_4_HISPOLD,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for Hispanic students"
653,C150_L4_WHITE,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for white students"
654,C150_L4_BLACK,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for black students"
655,C150_L4_HISP,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for Hispanic students"
656,C150_L4_ASIAN,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for Asian students"
657,C150_L4_AIAN,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for American Indian/Alaska Native students"
658,C150_L4_NHPI,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for Native Hawaiian/Pacific Islander students"
659,C150_L4_2MOR,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for students of two-or-more-races"
660,C150_L4_NRA,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for non-resident alien students"
661,C150_L4_UNKN,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for students whose race is unknown"
662,C150_L4_WHITENH,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for white non-Hispanic students"
663,C150_L4_BLACKNH,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for black non-Hispanic students"
664,C150_L4_API,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for Asian/Pacific Islander students"
665,C150_L4_AIANOLD,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for American Indian/Alaska Native students"
666,C150_L4_HISPOLD,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for Hispanic students"
667,C200_4,"Completion rate for first-time, full-time bachelor's-degree-seeking students at four-year institutions (200% of expected time to completion)"
668,C200_L4,"Completion rate for first-time, full-time students at less-than-four-year institutions (200% of expected time to completion)"
669,D200_4,Adjusted cohort count for completion rate at four-year institutions (denominator of 200% completion rate)
670,D200_L4,Adjusted cohort count for completion rate at less-than-four-year institutions (denominator of 200% completion rate)
671,RET_FT4,"First-time, full-time student retention rate at four-year institutions"
672,RET_FTL4,"First-time, full-time student retention rate at less-than-four-year institutions"
673,RET_PT4,"First-time, part-time student retention rate at four-year institutions"
674,RET_PTL4,"First-time, part-time student retention rate at less-than-four-year institutions"
675,C200_4_POOLED,"Completion rate for first-time, full-time bachelor's-degree-seeking students at four-year institutions (200% of expected time to completion), pooled for two year rolling averages"
676,C200_L4_POOLED,"Completion rate for first-time, full-time students at less-than-four-year institutions (200% of expected time to completion), pooled for two year rolling averages"
677,POOLYRS200,Years used for rolling averages of completion rate C200_[4/L4]_POOLED
678,D200_4_POOLED,"Adjusted cohort count for completion rate at four-year institutions (denominator of 200% completion rate), pooled for two-year rolling averages"
679,D200_L4_POOLED,"Adjusted cohort count for completion rate at less-than-four-year institutions (denominator of 200% completion rate), pooled for two-year rolling averages"
680,PCTFLOAN,Percent of all undergraduate students receiving a federal student loan
681,UG25ABV,Percentage of undergraduates aged 25 and above
682,CDR2,Two-year cohort default rate
683,CDR3,Three-year cohort default rate
684,DEATH_YR2_RT,Percent died within 2 years at original institution
685,COMP_ORIG_YR2_RT,Percent completed within 2 years at original institution
686,COMP_4YR_TRANS_YR2_RT,Percent who transferred to a 4-year institution and completed within 2 years
687,COMP_2YR_TRANS_YR2_RT,Percent who transferred to a 2-year institution and completed within 2 years
688,WDRAW_ORIG_YR2_RT,Percent withdrawn from original institution within 2 years
689,WDRAW_4YR_TRANS_YR2_RT,Percent who transferred to a 4-year institution and withdrew within 2 years
690,WDRAW_2YR_TRANS_YR2_RT,Percent who transferred to a 2-year institution and withdrew within 2 years
691,ENRL_ORIG_YR2_RT,Percent still enrolled at original institution within 2 years
692,ENRL_4YR_TRANS_YR2_RT,Percent who transferred to a 4-year institution and were still enrolled within 2 years
693,ENRL_2YR_TRANS_YR2_RT,Percent who transferred to a 2-year institution and were still enrolled within 2 years
694,UNKN_ORIG_YR2_RT,Percent with status unknown within 2 years at original institution
695,UNKN_4YR_TRANS_YR2_RT,Percent who transferred to a 4-year institution and whose status is unknown within 2 years
696,UNKN_2YR_TRANS_YR2_RT,Percent who transferred to a 2-year institution and whose status is unknown within 2 years
697,LO_INC_DEATH_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who died within 2 years at original institution"
698,LO_INC_COMP_ORIG_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who completed within 2 years at original institution"
699,LO_INC_COMP_4YR_TRANS_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and completed within 2 years"
700,LO_INC_COMP_2YR_TRANS_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and completed within 2 years"
701,LO_INC_WDRAW_ORIG_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students withdrawn from original institution within 2 years"
702,LO_INC_WDRAW_4YR_TRANS_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 2 years"
703,LO_INC_WDRAW_2YR_TRANS_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 2 years"
704,LO_INC_ENRL_ORIG_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who were still enrolled at original institution within 2 years"
705,LO_INC_ENRL_4YR_TRANS_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 2 years"
706,LO_INC_ENRL_2YR_TRANS_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 2 years"
